Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,43831480207.6444,47077192187.6418,58029363354.2757,66114145451.0067,68852658068.6673,75883823300.8545,86947913286.728,101822906949.063,101154952240.881,100865329473.44,110080631332.375,106937392311.129,115739287305.08,119130841411.664,110413823841.592,111572947004.917,118540573367.844,127341147581.818,128920266409.458,121353645057.144,142022058447.231,131245312804.483,146036093666.762,160610994054.734,182374250612.28
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,5650154067.10346,5950769426.60213,6583526860.58062,7937255565.35765,8868504899.94673,9509835536.93373,10811456005.9405,12920340964.6544,12263894790.0125,11411894723.864,14619279988.716,16688114144.0745,17198073057.1981,17978246586.0662,16208985769.615,12069051237.1711,13264640645.7768,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449,18884232598.8698,20927498317.3094,22752244245.473,22337997046.1913
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,3557341215.15159,3349169826.38896,4926439383.51425,6609205994.77406,7248374837.72056,8001779551.06323,8839536475.99963,8607431497.49471,8938847189.07592,11431412421.1316,12523359440.5499,13042053591.6857,12043307277.1235,12435430969.6301,11335161083.5061,10722018732.0936,12895153370.9132,13682019076.4022,12541928303.48,10583748541.5258,12402486183.6396,12569449123.3661,12522012873.7957,13641190683.4641,15080340653.5276
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,2448714703.96617,2782192878.67204,3394084732.49543,3760443737.53797,4383315964.58718,4756361252.37923,5731485051.79069,7297600226.00536,7352131309.73341,7851192502.30917,8772950777.79176,9426912647.59111,10224897437.8648,10862943543.5419,9683867926.44282,10341025540.2322,11359273443.3897,12800907985.9863,12420836506.7888,13648332189.7307,14936154253.3242,15531799640.9005,16949765463.9058,19729786046.7618,21646191388.2507
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,73557840064.489,95054059302.6995,104738954264.226,135764731645.611,175670569969.346,238454997161.48,278260846800.103,339476276257.793,295008835380.997,366990417129.04,414466676831.16,463971018239.281,520117180313.906,574183763411.508,493026682800.63,404649125252.16,375745731053.427,421739251509.08,668219992686.575,598586817817.392,609147716965.348,646950257575.455,487387801877.803,252261880140.271,290794361542.112
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1966600715.49841,1966003468.49117,2138237278.73822,2376496067.01198,2933819766.17656,3274207945.36553,4017977506.55904,5120655375.24365,5603399014.71331,6052276077.6354,6802676033.65947,7556673275.95438,7714276919.73722,8129984483.78727,8447064078.84373,8596812240.52305,9164345443.2575,9650161136.17648,10519272170.3346,10487146253.4025,11252894909.5043,13747404814.2677,14806501437.282,15111064181.9687,16372132990.2271
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,75951133.3777948,85171073.8777498,102085769.123419,114582283.916382,136450662.390592,142775104.081626,149146918.888611,188021165.00338,200668065.03175,190021192.489536,226455001.243083,229371348.441006,267041747.584354,293119143.246825,259999643.047388,292267272.196925,322002845.229335,383717327.830508,412976082.620705,471229484.607144,524402455.54816,540809499.189348,690456806.696406,824992558.045383,981293586.906408
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,6507824829.26254,7006402319.75856,8768721563.18211,10076816666.6196,11009033437.939,11697918243.0035,13994218412.9619,16853989627.548,16145867494.9405,16121315909.0758,17814283639.3119,17660870411.5235,18918667724.8817,19797253440.2679,17774766696.1759,19040312333.1864,20965069572.7168,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27783332222.6759,30696331295.7826,32169996051.8502,37006536238.3731
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,662064155.920692,742134837.50919,750847230.099263,893012218.181818,977899381.818182,1081441283.31798,1077308813.82945,979597394.293453,850901620.433301,981616542.328454,1058918707.26124,1089407839.19709,1333160407.38516,1387577870.08161,1432403352.12944,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,1999888599.25474,2171547935.38159,2228608684.29911,2387022853.48583
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1681473893.76655,1933863910.73227,2142618045.93129,2237350687.46606,2545275312.60512,3263697466.73514,3632957611.35152,4157895298.19572,3953403098.37107,4262805966.78755,4861632884.67985,6141666509.36295,7502762862.72657,7686138790.90872,6788352974.78329,6084297211.10217,5749846528.48046,6390514688.52816,6523577590.38319,6688307705.64217,7166931483.2953,7121125277.18159,6415852766.09227,6971127234.07241,7464157904.43509
"Somalia, Fed. Rep.",SOM,GDP (current US$),NY.GDP.MKTP.CD,2252847464.68608,2192684134.59273,2836724351.5616,3859592813.10255,4683246454.10048,5026743282.04251,5430713728.89074,5913620292.90573,2948594552.44952,2687807003.73935,2906000096.93249,4364670159.99578,5062881600.00104,5728399719.99958,6152149099.99942,6613743069.99912,7621501710.0012,7873000000,8656000000,8628000000,9483000000,10203000000,10958000000,11967000000,12995200000.2658
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,14586253383.0632,12231264525.0671,14602072410.9506,14907308932.7534,11931472169.4915,18426469016.9492,13962212847.4576,11997800760.2242,..,..,..,..,..,..,..,..,..,..
